Year,Avg_CO2_ppm
1958,315.232
1959,172.46045454545455
1960,158.60166666666666
1961,158.93833333333333
1962,159.355
1963,159.58041666666668
1964,159.90583333333333
1965,160.08333333333334
1966,160.89208333333332
1967,161.21666666666667
1968,161.65958333333333
1969,162.555
1970,163.00375
1971,163.25666666666666
1972,163.90291666666667
1973,165.17791666666668
1974,165.17375
1975,165.70708333333332
1976,166.14875
1977,167.19666666666666
1978,167.9425
1979,168.62958333333333
1980,169.66708333333332
1981,170.26041666666666
1982,170.93916666666667
1983,171.8216666666667
1984,172.6833333333333
1985,173.39125
1986,173.98625
1987,174.90125
1988,176.18541666666667
1989,176.8175
1990,177.40333333333334
1991,178.02833333333334
1992,178.39166666666665
1993,178.70125
1994,179.72375
1995,180.76458333333335
1996,181.61791666666667
1997,182.095
1998,183.8275
1999,184.50166666666667
2000,185.01250000000002
2001,185.87708333333333
2002,187.01375
2003,188.33166666666668
2004,189.07625
2005,190.29458333333332
2006,191.32291666666666
2007,192.26541666666665
2008,193.15166666666667
2009,194.05499999999998
2010,195.36833333333334
2011,196.15
2012,197.30958333333334
2013,198.70875
2014,199.66750000000002
2015,200.78208333333336
2016,202.63083333333336
2017,203.66916666666668
2018,204.59875
2019,206.1833333333333
2020,207.41666666666666
2021,208.47208333333333
2022,209.51833333333335
2023,210.84416666666667
2024,0.68
