Country,Year,Temperature,Period
World,1961,0.211,Pre-1990
World,1962,0.038,Pre-1990
World,1963,0.168,Pre-1990
World,1964,-0.246,Pre-1990
World,1965,-0.223,Pre-1990
World,1966,0.201,Pre-1990
World,1967,-0.117,Pre-1990
World,1968,-0.126,Pre-1990
World,1969,-0.092,Pre-1990
World,1970,0.15,Pre-1990
World,1971,-0.093,Pre-1990
World,1972,-0.199,Pre-1990
World,1973,0.269,Pre-1990
World,1974,-0.181,Pre-1990
World,1975,0.088,Pre-1990
World,1976,-0.314,Pre-1990
World,1977,0.269,Pre-1990
World,1978,0.001,Pre-1990
World,1979,0.226,Pre-1990
World,1980,0.332,Pre-1990
World,1981,0.443,Pre-1990
World,1982,0.086,Pre-1990
World,1983,0.46,Pre-1990
World,1984,0.127,Pre-1990
World,1985,-0.031,Pre-1990
World,1986,0.242,Pre-1990
World,1987,0.403,Pre-1990
World,1988,0.558,Pre-1990
World,1989,0.331,Pre-1990
World,1990,0.639,Post-1990
World,1991,0.468,Post-1990
World,1992,0.184,Post-1990
World,1993,0.348,Post-1990
World,1994,0.507,Post-1990
World,1995,0.835,Post-1990
World,1996,0.355,Post-1990
World,1997,0.656,Post-1990
World,1998,0.993,Post-1990
World,1999,0.783,Post-1990
World,2000,0.728,Post-1990
World,2001,0.834,Post-1990
World,2002,1.021,Post-1990
World,2003,0.893,Post-1990
World,2004,0.913,Post-1990
World,2005,1.095,Post-1990
World,2006,0.998,Post-1990
World,2007,1.195,Post-1990
World,2008,0.935,Post-1990
World,2009,0.957,Post-1990
World,2010,1.219,Post-1990
World,2011,0.921,Post-1990
World,2012,1.074,Post-1990
World,2013,1.016,Post-1990
World,2014,1.053,Post-1990
World,2015,1.412,Post-1990
World,2016,1.66,Post-1990
World,2017,1.429,Post-1990
World,2018,1.29,Post-1990
World,2019,1.444,Post-1990
World,2020,1.711,Post-1990
World,2021,1.447,Post-1990
World,2022,1.394,Post-1990
